,orig.ident
LT.HSC_202,LT.HSC
LT.HSC_203,LT.HSC
LT.HSC_205,LT.HSC
LT.HSC_206,LT.HSC
LT.HSC_207,LT.HSC
LT.HSC_208,LT.HSC
LT.HSC_209,LT.HSC
LT.HSC_210,LT.HSC
LT.HSC_211,LT.HSC
LT.HSC_212,LT.HSC
LT.HSC_213,LT.HSC
LT.HSC_214,LT.HSC
LT.HSC_215,LT.HSC
LT.HSC_216,LT.HSC
sl_0001,sl
sl_0002,sl
sl_0003,sl
sl_0004,sl
sl_0005,sl
sl_0006,sl
sl_0007,sl
sl_0008,sl
sl_0009,sl
sl_0010,sl
sl_0011,sl
sl_0012,sl
sl_0013,sl
sl_0015,sl
sl_0016,sl
sl_0017,sl
sl_0018,sl
sl_0019,sl
sl_0020,sl
sl_0021,sl
sl_0022,sl
sl_0023,sl
sl_0024,sl
sl_0025,sl
sl_0026,sl
sl_0027,sl
sl_0028,sl
sl_0029,sl
sl_0030,sl
sl_0031,sl
sl_0032,sl
sl_0033,sl
sl_0034,sl
sl_0035,sl
sl_0036,sl
sl_0037,sl
sl_0038,sl
sl_0039,sl
sl_0040,sl
sl_0041,sl
sl_0042,sl
sl_0043,sl
sl_0044,sl
sl_0045,sl
sl_0046,sl
sl_0047,sl
sl_0048,sl
sl_0051,sl
sl_0053,sl
sl_0054,sl
sl_0055,sl
sl_0056,sl
sl_0057,sl
sl_0058,sl
sl_0060,sl
sl_0061,sl
sl_0062,sl
sl_0063,sl
sl_0064,sl
sl_0065,sl
sl_0067,sl
sl_0068,sl
sl_0069,sl
sl_0071,sl
sl_0072,sl
sl_0073,sl
sl_0074,sl
sl_0075,sl
sl_0076,sl
sl_0077,sl
sl_0078,sl
sl_0079,sl
sl_0080,sl
sl_0081,sl
sl_0082,sl
sl_0083,sl
sl_0084,sl
sl_0085,sl
sl_0086,sl
sl_0087,sl
sl_0088,sl
sl_0089,sl
sl_0090,sl
sl_0091,sl
sl_0092,sl
sl_0093,sl
sl_0094,sl
sl_0095,sl
sl_0096,sl
sl_0097,sl
sl_0098,sl
sl_0099,sl
sl_0100,sl
sl_0101,sl
sl_0102,sl
sl_0103,sl
sl_0104,sl
sl_0105,sl
sl_0106,sl
sl_0107,sl
sl_0108,sl
sl_0109,sl
sl_0110,sl
sl_0111,sl
sl_0112,sl
sl_0113,sl
sl_0114,sl
sl_0115,sl
sl_0116,sl
sl_0117,sl
sl_0118,sl
sl_0119,sl
sl_0120,sl
ss_0001,ss
ss_0002,ss
ss_0003,ss
ss_0004,ss
ss_0005,ss
ss_0006,ss
ss_0007,ss
ss_0008,ss
ss_0009,ss
ss_0010,ss
ss_0011,ss
ss_0012,ss
ss_0013,ss
ss_0014,ss
ss_0015,ss
ss_0016,ss
ss_0017,ss
ss_0018,ss
ss_0019,ss
ss_0020,ss
ss_0021,ss
ss_0022,ss
ss_0023,ss
ss_0024,ss
ss_0025,ss
ss_0026,ss
ss_0027,ss
ss_0028,ss
ss_0029,ss
ss_0030,ss
ss_0032,ss
ss_0033,ss
ss_0034,ss
ss_0035,ss
ss_0036,ss
ss_0037,ss
ss_0038,ss
ss_0039,ss
ss_0040,ss
ss_0041,ss
ss_0042,ss
ss_0043,ss
ss_0044,ss
ss_0045,ss
ss_0046,ss
ss_0047,ss
ss_0048,ss
ss_0049,ss
ss_0050,ss
T.HSC_001,T.HSC
T.HSC_004,T.HSC
T.HSC_005,T.HSC
T.HSC_006,T.HSC
T.HSC_008,T.HSC
T.HSC_009,T.HSC
T.HSC_010,T.HSC
T.HSC_011,T.HSC
T.HSC_012,T.HSC
T.HSC_013,T.HSC
T.HSC_014,T.HSC
T.HSC_015,T.HSC
T.HSC_016,T.HSC
T.HSC_017,T.HSC
T.HSC_018,T.HSC
T.HSC_019,T.HSC
T.HSC_020,T.HSC
T.HSC_021,T.HSC
T.HSC_022,T.HSC
T.HSC_023,T.HSC
T.HSC_024,T.HSC
T.HSC_025,T.HSC
T.HSC_026,T.HSC
T.HSC_027,T.HSC
T.HSC_028,T.HSC
T.HSC_029,T.HSC
T.HSC_030,T.HSC
T.HSC_031,T.HSC
T.HSC_032,T.HSC
T.HSC_033,T.HSC
T.HSC_034,T.HSC
T.HSC_035,T.HSC
T.HSC_036,T.HSC
T.HSC_037,T.HSC
T.HSC_038,T.HSC
T.HSC_039,T.HSC
T.HSC_040,T.HSC
T.HSC_041,T.HSC
T.HSC_042,T.HSC
T.HSC_043,T.HSC
T.HSC_044,T.HSC
T.HSC_045,T.HSC
T.HSC_046,T.HSC
T.HSC_047,T.HSC
T.HSC_048,T.HSC
T.HSC_049,T.HSC
T.HSC_050,T.HSC
T.HSC_051,T.HSC
